Current (A),Voltage (V),Electron current (pA)
-2.737E-12,16.741,2.737
-2.749E-12,16.750,2.749
-2.761E-12,16.759,2.761
-2.770E-12,16.771,2.770
-2.782E-12,16.795,2.782
-2.791E-12,16.797,2.791
-2.804E-12,16.810,2.804
-2.817E-12,16.821,2.817
-2.827E-12,16.823,2.827
-2.836E-12,16.823,2.836
-2.844E-12,16.830,2.844
-2.850E-12,16.842,2.850
-2.857E-12,16.861,2.857
-2.871E-12,16.869,2.871
-2.881E-12,16.883,2.881
-2.889E-12,16.901,2.889
-2.901E-12,16.925,2.901
-2.917E-12,16.949,2.917
-2.936E-12,16.978,2.936
-2.962E-12,16.995,2.962
-2.984E-12,17.007,2.984
-3.006E-12,17.018,3.006
-3.026E-12,17.031,3.026
-3.040E-12,17.039,3.040
-3.052E-12,17.049,3.052
-3.063E-12,17.057,3.063
-3.077E-12,17.060,3.077
